方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
S,01F-000.5S,1.1,1.3,基隆端(基隆港),基隆(長庚醫院),N,25.11878611,E,121.7317639
S,01F-001.7S,1.2,1.4,基隆(長庚醫院),八堵,N,25.10956667,E,121.7259056
S,01F-002.9S,2.8,3.3,八堵,大華系統(連接台62),N,25.10311111,E,121.7173694
S,01F-006.1S,1.8,2.1,大華系統(連接台62),五堵,N,25.08839444,E,121.6934833
S,01F-009.9S,3.7,4.4,五堵,汐止&汐止系統(連接國3),N,25.07626389,E,121.6594778
S,01F-014.7S,3.7,4.4,汐止&汐止系統(連接國3),東湖,N,25.06564444,E,121.6135194
S,01F-015.5S,2.1,2.5,東湖,內湖(南京東、成功路),N,25.06475278,E,121.6059028
S,01F-018.2S,5.9,7,內湖(南京東、成功路),圓山(建國北路),N,25.06898611,E,121.5802306
S,01F-024.8S,2.1,2.5,圓山(建國北路),台北(重慶北、士林),N,25.07763056,E,121.5166028
S,01F-026.4S,2,2.4,台北(重慶北、士林),三重,N,25.07746389,E,121.5013861
S,01F-029.3S,5.9,7,三重,五股,N,25.07479722,E,121.4729611
S,01F-033.9S,1.4,1.6,五股,高公局,N,25.068239,E,121.428764
S,01F-037.6S,6.5,7.8,高公局,林口(文化一路),N,25.058667,E,121.397306
S,01F-041.3S,1.4,1.6,林口(文化一路),林口(文化北路),N,25.065081,E,121.363444
S,01F-046.7S,6.8,8.1,林口(文化北路),桃園,N,25.047075,E,121.317761
S,01F-050.9S,3.2,3.8,桃園,機場系統(連接國2),N,25.027206,E,121.283072
S,01F-053.2S,2.9,3.4,機場系統(連接國2),中壢服務區,N,25.012944,E,121.266194
S,01F-055.7S,2.2,2.6,中壢服務區,內壢,N,24.99858333,E,121.2477222
S,01F-057.8S,5.1,6.1,內壢,中壢,N,24.984414,E,121.233197
S,01F-063.3S,2.6,3.1,中壢,平鎮系統(連接台66),N,24.949281,E,121.195594
S,01F-066.4S,2.3,2.7,平鎮系統(連接台66),幼獅,N,24.929544,E,121.176919
S,01F-068.1S,1.9,2.2,幼獅,楊梅,N,24.917967,E,121.167586
S,01F-075.0S,14.6,17.5,楊梅,湖口,N,24.893436,E,121.111731
S,01F-088.0S,7.3,8.7,湖口,竹北,N,24.848719,E,121.019031
S,01F-092.8S,3,3.6,竹北,新竹(光復路),N,24.808453,E,121.010306
S,01F-095.0S,2.5,3,新竹(光復路),新竹(科學園區),N,24.789622,E,121.005247
S,01F-098.0S,2.8,3.3,新竹(科學園區),新竹系統(連接國3),N,24.763586,E,120.998861
S,01F-104.5S,11,13.2,新竹系統(連接國3),頭份,N,24.727131,E,120.951897
S,01F-112.3S,15.1,18.1,頭份,頭屋,N,24.67931667,E,120.9042667
S,01F-129.2S,7.4,8.8,頭屋,苗栗,N,24.550442,E,120.838925
S,01F-138.9S,7.3,8.7,苗栗,銅鑼,N,24.485919,E,120.781903
S,01F-146.5S,10,12,銅鑼,三義,N,24.420514,E,120.775731
S,01F-157.2S,10.5,12.6,三義,后里,N,24.339147,E,120.72085
S,01F-162.1S,4.7,5.6,后里,台中系統(連接國4),N,24.301186,E,120.697325
S,01F-166.4S,2.5,3,台中系統(連接國4),豐原,N,24.262647,E,120.691956
S,01F-172.5S,6.2,7.4,豐原,大雅,N,24.212956,E,120.671375
S,01F-177.4S,4.4,5.2,大雅,台中(台灣大道),N,24.184592,E,120.635611
S,01F-180.2S,2.8,3.3,台中(台灣大道),南屯,N,24.163706,E,120.621933
S,01F-183.9S,8.2,9.8,南屯,王田,N,24.130767,E,120.617247
S,01F-190.6S,3.1,3.7,王田,彰化系統(連接國3),N,24.113572,E,120.568131
S,01F-196.0S,5.6,6.7,彰化系統(連接國3),彰化,N,24.085622,E,120.52785
S,01F-201.1S,9.1,10.9,彰化,埔鹽系統(連接台76),N,24.040639,E,120.522786
S,01F-208.9S,3.4,4,埔鹽系統(連接台76),員林,N,23.971794,E,120.506117
S,01F-215.6S,9.1,10.9,員林,北斗,N,23.912769,E,120.49765
S,01F-224.9S,10.4,12.4,北斗,西螺,N,23.830569,E,120.484881
S,01F-232.2S,5.2,6.2,西螺,虎尾(斗六聯絡道),N,23.766328,E,120.469342
S,01F-239.4S,4.9,5.8,虎尾(斗六聯絡道),斗南(158縣道),N,23.702603,E,120.474917
S,01F-242.5S,3.2,3.8,斗南(158縣道),雲林系統(連接台78),N,23.677375,E,120.462281
S,01F-248.3S,6.5,7.8,雲林系統(連接台78),大林,N,23.629158,E,120.440264
S,01F-251.4S,6.9,8.2,大林,民雄,N,23.601989,E,120.435417
S,01F-260.3S,7.1,8.5,民雄,嘉義,N,23.526739,E,120.405583
S,01F-267.4S,6.2,7.4,嘉義,水上,N,23.469403,E,120.3777
S,01F-271.4S,2.5,3,水上,嘉義系統(連接台82),N,23.436367,E,120.361561
S,01F-282.7S,11.3,13.5,嘉義系統(連接台82),新營服務區,N,23.347469,E,120.322192
S,01F-286.6S,4.2,5,新營服務區,新營,N,23.320994,E,120.298703
S,01F-293.0S,11.2,13.4,新營,下營系統(連接台84),N,23.272589,E,120.265769
S,01F-301.9S,4.1,4.9,下營系統(連接台84),麻豆,N,23.205089,E,120.236675
S,01F-308.3S,7.5,9,麻豆,安定,N,23.148131,E,120.231303
S,01F-312.6S,4.3,5.1,安定,台南系統(連接國8),N,23.104817,E,120.247681
S,01F-318.5S,4.2,5,台南系統(連接國8),永康,N,23.051311,E,120.253025
S,01F-322.7S,4.9,5.8,永康,大灣,N,23.014172,E,120.249997
S,01F-325.2S,2.9,3.4,大灣,台南(仁德),N,22.991814,E,120.248175
S,01F-328.6S,3.3,3.9,台南(仁德),仁德系統(連接台86),N,22.960903,E,120.249822
S,01F-336.6S,7.6,9.1,仁德系統(連接台86),路竹,N,22.892619,E,120.27215
S,01F-339.8S,4.1,4.9,路竹,高科,N,22.867419,E,120.284989
S,01F-346.0S,7,8.4,高科,岡山,N,22.818039,E,120.312731
S,01F-352.5S,5.9,7,岡山,楠梓(旗楠路),N,22.761672,E,120.330806
S,01F-356.1S,1.8,2.1,楠梓(旗楠路),楠梓(鳳楠路),N,22.728956,E,120.333764
S,01F-359.0S,5.2,6.2,楠梓(鳳楠路),鼎金系統(連接國10、大中路),N,22.703525,E,120.328219
S,01F-364.0S,4.3,5.1,鼎金系統(連接國10、大中路),高雄(九如、建國路),N,22.658892,E,120.332081
S,01F-367.6S,1.2,1.4,高雄(九如、建國路),高雄(中正、三多路),N,22.627819,E,120.336222
S,01F-368.6S,2,2.4,高雄(中正、三多路),瑞隆路南下出口匝道,N,22.618206,E,120.336853
S,01F-373.6S,1.2,1.4,高雄端(中山四路),高雄端(新生路),N,22.581933,E,120.32315
N,01F-000.5N,1.1,1.3,基隆(長庚醫院),基隆端(基隆港),N,25.11831111,E,121.7316361
N,01F-001.7N,1.2,1.4,八堵,基隆(長庚醫院),N,25.10956667,E,121.7259056
N,01F-002.9N,2.8,3.3,大華系統(連接台62),八堵,N,25.10311111,E,121.7173694
N,01F-006.1N,1.8,2.1,五堵,大華系統(連接台62),N,25.08839444,E,121.6934833
N,01F-009.9N,3.7,4.4,汐止&汐止系統(連接國3),五堵,N,25.07604444,E,121.6594222
N,01F-014.7N,3.7,4.4,東湖,汐止&汐止系統(連接國3),N,25.06564444,E,121.6135194
N,01F-015.5N,2.1,2.5,內湖(南京東、成功路),東湖,N,25.06475278,E,121.6059028
N,01F-021.3N,5.9,7,圓山(建國北路),內湖(南京東、成功路),N,25.073053,E,121.550358
N,01F-023.3N,2.1,2.5,台北(重慶北、士林),圓山(建國北路),N,25.07301944,E,121.5307028
N,01F-025.6N,2,2.4,三重,台北(重慶北、士林),N,25.07806667,E,121.5091056
N,01F-029.3N,5.9,7,五股,三重,N,25.07479722,E,121.4729611
N,01F-033.9N,1.4,1.6,高公局,五股,N,25.068239,E,121.428764
N,01F-037.6N,6.5,7.8,林口(文化一路),高公局,N,25.058667,E,121.397306
N,01F-041.3N,1.4,1.6,林口(文化北路),林口(文化一路),N,25.065081,E,121.363444
N,01F-046.7N,6.8,8.1,桃園,林口(文化北路),N,25.047075,E,121.317761
N,01F-050.9N,3.2,3.8,機場系統(連接國2),桃園,N,25.027206,E,121.283072
N,01F-053.2N,2.9,3.4,中壢服務區,機場系統(連接國2),N,25.012944,E,121.266194
N,01F-055.7N,2.2,2.6,內壢,中壢服務區,N,24.998583,E,121.247722
N,01F-058.4N,5.1,6.1,中壢,內壢,N,24.980558,E,121.228944
N,01F-063.3N,2.6,3.1,平鎮系統(連接台66),中壢,N,24.949281,E,121.195594
N,01F-066.4N,2.3,2.7,幼獅,平鎮系統(連接台66),N,24.929544,E,121.176919
N,01F-068.1N,1.9,2.2,楊梅,幼獅,N,24.917967,E,121.167586
N,01F-075.0N,14.6,17.5,湖口,楊梅,N,24.893436,E,121.111731
N,01F-088.0N,7.3,8.7,竹北,湖口,N,24.848719,E,121.019031
N,01F-092.8N,3,3.6,新竹(光復路),竹北,N,24.808453,E,121.010306
N,01F-095.6N,2.5,3,新竹(科學園區),新竹(光復路),N,24.783944,E,121.003725
N,01F-097.9N,2.8,3.3,新竹系統(連接國3),新竹(科學園區),N,24.764414,E,120.999897
N,01F-104.5N,11,13.2,頭份,新竹系統(連接國3),N,24.727131,E,120.951897
N,01F-112.3N,15.1,18.1,頭屋,頭份,N,24.67931667,E,120.9042667
N,01F-129.2N,7.4,8.8,苗栗,頭屋,N,24.550442,E,120.838925
N,01F-138.9N,7.3,8.7,銅鑼,苗栗,N,24.485919,E,120.781903
N,01F-146.5N,10,12,三義,銅鑼,N,24.420514,E,120.775731
N,01F-157.2N,10.5,12.6,后里,三義,N,24.339147,E,120.72085
N,01F-162.1N,4.7,5.6,台中系統(連接國4),后里,N,24.301186,E,120.697325
N,01F-166.4N,2.5,3,豐原,台中系統(連接國4),N,24.262647,E,120.691956
N,01F-172.5N,6.2,7.4,大雅,豐原,N,24.212956,E,120.671375
N,01F-177.4N,4.4,5.2,台中(台灣大道),大雅,N,24.184592,E,120.635611
N,01F-180.2N,2.8,3.3,南屯,台中(台灣大道),N,24.163706,E,120.621933
N,01F-183.9N,8.2,9.8,王田,南屯,N,24.130767,E,120.617247
N,01F-190.6N,3.1,3.7,彰化系統(連接國3),王田,N,24.113572,E,120.568131
N,01F-196.0N,5.6,6.7,彰化,彰化系統(連接國3),N,24.085622,E,120.52785
N,01F-201.1N,9.1,10.9,埔鹽系統(連接台76),彰化,N,24.040639,E,120.522786
N,01F-208.9N,3.4,4,員林,埔鹽系統(連接台76),N,23.971794,E,120.506117
N,01F-215.6N,9.1,10.9,北斗,員林,N,23.912769,E,120.49765
N,01F-224.9N,10.4,12.4,西螺,北斗,N,23.830569,E,120.484881
N,01F-232.2N,5.2,6.2,虎尾(斗六聯絡道),西螺,N,23.766328,E,120.469342
N,01F-239.4N,4.9,5.8,斗南(158縣道),虎尾(斗六聯絡道),N,23.702603,E,120.474917
N,01F-242.5N,3.2,3.8,雲林系統(連接台78),斗南(158縣道),N,23.677375,E,120.462281
N,01F-248.3N,6.5,7.8,大林,雲林系統(連接台78),N,23.629158,E,120.440264
N,01F-251.4N,6.9,8.2,民雄,大林,N,23.601989,E,120.435417
N,01F-260.3N,7.1,8.5,嘉義,民雄,N,23.526739,E,120.405583
N,01F-267.4N,6.2,7.4,水上,嘉義,N,23.469403,E,120.3777
N,01F-271.4N,2.5,3,嘉義系統(連接台82),水上,N,23.436367,E,120.361561
N,01F-282.7N,11.3,13.5,新營服務區,嘉義系統(連接台82),N,23.347469,E,120.322192
N,01F-286.6N,4.2,5,新營,新營服務區,N,23.320994,E,120.298703
N,01F-293.0N,11.2,13.4,下營系統(連接台84),新營,N,23.272589,E,120.265769
N,01F-301.9N,4.1,4.9,麻豆,下營系統(連接台84),N,23.205089,E,120.236675
N,01F-308.3N,7.5,9,安定,麻豆,N,23.148131,E,120.231303
N,01F-312.6N,4.3,5.1,台南系統(連接國8),安定,N,23.104817,E,120.247681
N,01F-318.5N,4.2,5,永康,台南系統(連接國8),N,23.051311,E,120.253025
N,01F-322.7N,4.9,5.8,大灣,永康,N,23.014172,E,120.249997
N,01F-325.2N,2.9,3.4,台南(仁德),大灣,N,22.991814,E,120.248175
N,01F-328.6N,3.3,3.9,仁德系統(連接台86),台南(仁德),N,22.960903,E,120.249822
N,01F-336.6N,7.6,9.1,路竹,仁德系統(連接台86),N,22.892619,E,120.27215
N,01F-339.8N,4.1,4.9,高科,路竹,N,22.867419,E,120.284989
N,01F-346.0N,7,8.4,岡山,高科,N,22.818039,E,120.312731
N,01F-352.5N,5.9,7,楠梓(旗楠路),岡山,N,22.761672,E,120.330806
N,01F-355.9N,1.8,2.1,楠梓(鳳楠路),楠梓(旗楠路),N,22.730903,E,120.334286
N,01F-359.0N,5.2,6.2,鼎金系統(連接國10、大中路),楠梓(鳳楠路),N,22.703525,E,120.328219
N,01F-364.0N,4.3,5.1,高雄(九如、建國路),鼎金系統(連接國10、大中路),N,22.658892,E,120.332081
N,01F-367.6N,1.2,1.4,高雄(中正、三多路),高雄(九如、建國路),N,22.627819,E,120.336222
N,01F-369.6N,2.9,3.4,瑞隆路南下出口匝道,高雄(中正、三多路),N,22.609428,E,120.339608
N,01F-373.6N,1.2,1.4,高雄端(新生路),高雄端(中山四路),N,22.581933,E,120.32315
S,01H-016.3S,7.5,9,汐止&汐止系統(連接國1平面),堤頂,N,25.064006,E,121.598733
S,01H-020.6S,6.8,8.1,堤頂,環北,N,25.07275,E,121.557739
S,01H-030.5S,7.4,8.8,環北,五股(高架),N,25.072747,E,121.450939
S,01H-033.4S,1.4,1.6,五股(高架),高公局,N,25.068728,E,121.433281
S,01H-044.7S,17.8,21.3,高公局,機場系統(連接國2),N,25.060125,E,121.331858
S,01H-057.9S,10.2,12.2,機場系統(連接國2),中壢,N,24.984094,E,121.232531
S,01H-061.0S,6.7,8,中壢,楊梅,N,24.96525,E,121.209867
N,01H-017.4N,7.5,9,堤頂,汐止&汐止系統(連接國1平面),N,25.065544,E,121.588044
N,01H-020.0N,1.7,2,下塔悠北上出口匝道,堤頂,N,25.070994,E,121.562519
N,01H-020.8N,5.1,6.1,環北,下塔悠北上出口匝道,N,25.072261,E,121.555014
N,01H-027.1N,7.4,8.8,五股(高架),環北,N,25.075256,E,121.494019
N,01H-033.3N,1.4,1.6,高公局,五股(高架),N,25.068147,E,121.435133
N,01H-044.7N,17.8,21.3,機場系統(連接國2),高公局,N,25.059242,E,121.332072
N,01H-057.9N,10.2,12.2,中壢,機場系統(連接國2),N,24.983667,E,121.232981
N,01H-060.8N,6.7,8,楊梅,中壢,N,24.965878,E,121.211614
S,03F-000.6S,2.3,2.7,基金,瑪東系統(連接台62),N,25.137106,E,121.708908
S,03F-008.7S,8.4,10,瑪東系統(連接台62),汐止系統(連接國1),N,25.089994,E,121.653556
S,03F-011.6S,2.1,2.5,汐止系統(連接國1),新台五路,N,25.065611,E,121.643467
S,03F-013.6S,1.7,2,新台五路,南港(連接環東大道),N,25.052742,E,121.631281
